Fecha,Exterior,Interior,Sensor 2,Sensor 1
2018-06-04 12:49:06.931240,25.88,26.86,26.37,26.37
2018-06-04 12:49:07.235742,25.88,26.86,26.37,26.86
2018-06-04 12:49:07.542540,25.88,26.37,26.37,26.86
2018-06-04 12:49:07.851398,25.39,26.86,26.37,26.86
2018-06-04 12:49:08.156903,25.39,26.37,26.37,26.86
2018-06-04 12:49:08.461698,25.39,26.37,26.37,26.37
2018-06-04 12:49:08.768791,25.88,26.86,26.37,26.86
2018-06-04 12:49:09.073509,25.39,26.37,26.37,26.37
2018-06-04 12:49:09.379690,25.39,26.86,26.37,26.86
2018-06-04 12:49:09.685905,25.39,26.86,26.37,26.37
2018-06-04 12:49:09.991122,25.39,26.86,26.37,26.86
2018-06-04 12:49:10.296533,25.88,26.86,26.37,26.86
2018-06-04 12:49:10.602752,25.39,26.37,26.37,26.37
2018-06-04 12:49:10.910205,25.88,26.86,26.37,26.86
2018-06-04 12:49:11.215326,25.39,26.37,26.37,26.86
2018-06-04 12:49:11.520104,25.39,26.37,25.88,26.86
2018-06-04 12:49:11.828546,25.39,26.86,26.37,26.37
2018-06-04 12:49:12.135245,25.39,26.86,25.88,26.86
2018-06-04 12:49:12.441474,25.39,26.37,26.37,26.86
2018-06-04 12:49:12.747189,25.88,26.86,26.37,26.37
2018-06-04 12:49:13.053909,25.39,26.37,25.88,26.86
2018-06-04 12:49:13.366378,25.39,26.86,26.37,26.86
2018-06-04 12:49:13.676542,25.39,26.37,26.37,26.37
2018-06-04 12:49:13.984924,25.88,26.37,26.37,26.86
2018-06-04 12:49:14.289825,25.39,26.86,26.37,26.86
2018-06-04 12:49:14.597438,25.88,26.86,26.37,26.86
2018-06-04 12:49:14.903379,25.88,26.86,26.37,26.86
2018-06-04 12:49:15.210600,25.39,26.37,25.88,26.86
2018-06-04 12:49:15.517819,25.39,26.86,26.37,26.86
2018-06-04 12:49:15.825541,25.39,26.37,26.37,26.37
2018-06-04 12:49:16.130764,25.88,26.86,25.88,26.86
2018-06-04 12:49:16.439506,25.39,26.37,26.37,26.86
2018-06-04 12:49:16.746492,25.88,26.86,26.37,26.37
2018-06-04 12:49:17.052041,25.39,26.86,25.88,26.37
2018-06-04 12:49:17.359335,25.88,26.37,26.37,26.37
2018-06-04 12:49:17.665922,25.39,26.37,26.37,26.86
2018-06-04 12:49:17.973194,25.39,26.37,26.37,26.37
2018-06-04 12:49:18.282136,25.39,26.86,26.37,26.37
2018-06-04 12:49:18.596191,25.39,26.86,26.37,26.86
2018-06-04 12:49:18.906097,25.88,26.86,26.37,26.86
2018-06-04 12:49:19.212450,25.88,26.86,26.37,26.86
2018-06-04 12:49:19.519003,25.88,26.86,26.37,26.86
2018-06-04 12:49:19.827617,25.39,26.86,26.37,26.86
2018-06-04 12:49:20.134788,25.39,26.86,26.37,26.37
2018-06-04 12:49:20.439241,25.39,26.86,26.37,26.86
2018-06-04 12:49:20.745996,25.39,26.86,26.37,26.86
2018-06-04 12:49:21.051760,25.88,26.37,26.37,26.86
2018-06-04 12:49:21.356358,25.88,26.37,26.37,26.86
2018-06-04 12:49:21.661520,25.39,26.86,26.86,26.86
2018-06-04 12:49:21.967162,25.88,26.86,26.37,26.86
2018-06-04 12:49:22.272840,25.88,26.37,26.37,26.86
2018-06-04 12:49:22.579692,25.88,26.86,26.37,26.86
2018-06-04 12:49:22.886447,25.88,26.86,26.37,26.86
2018-06-04 12:49:23.193852,25.39,26.37,26.37,26.86
2018-06-04 12:49:23.502637,25.39,26.37,26.37,26.86
2018-06-04 12:49:23.810358,25.88,26.86,26.37,26.37
2018-06-04 12:49:24.117579,25.39,26.86,26.37,26.86
2018-06-04 12:49:24.438552,25.88,26.86,26.37,26.86
2018-06-04 12:49:24.744776,25.39,26.86,26.86,26.86
2018-06-04 12:49:25.050489,25.88,26.37,26.37,26.37
2018-06-04 12:49:25.359373,25.39,26.37,26.37,26.37
2018-06-04 12:49:25.662500,25.39,26.86,26.37,26.86
2018-06-04 12:49:25.968955,25.39,26.37,26.37,26.86
2018-06-04 12:49:26.277744,25.39,26.37,26.37,26.86
2018-06-04 12:49:26.582558,25.39,26.86,26.37,26.86
2018-06-04 12:49:26.889799,25.88,26.37,26.37,26.86
2018-06-04 12:49:27.195351,25.88,26.37,25.88,26.86
2018-06-04 12:49:27.502094,25.39,26.86,26.37,26.86
2018-06-04 12:49:27.809252,25.39,26.86,26.37,26.86
2018-06-04 12:49:28.116131,25.88,26.86,26.37,26.86
2018-06-04 12:49:28.421562,25.39,26.86,26.37,26.86
2018-06-04 12:49:28.726082,25.39,26.86,26.37,26.86
2018-06-04 12:49:29.031804,25.39,26.86,26.37,26.86
2018-06-04 12:49:29.338287,25.39,26.86,26.37,26.37
2018-06-04 12:49:29.643874,25.88,26.37,26.37,26.86
2018-06-04 12:49:29.946360,25.39,26.86,26.37,26.86
2018-06-04 12:49:30.256583,25.39,26.37,26.37,26.37
2018-06-04 12:49:30.562188,25.88,26.37,26.37,26.37
2018-06-04 12:49:30.867408,25.39,26.86,26.37,26.86
2018-06-04 12:49:31.172064,25.88,26.86,26.37,26.86
2018-06-04 12:49:31.478237,25.88,26.86,26.37,26.86
2018-06-04 12:49:31.785621,25.88,26.86,26.37,26.86
2018-06-04 12:49:32.089838,25.88,26.37,26.37,26.86
2018-06-04 12:49:32.398007,25.39,26.37,26.37,26.86
2018-06-04 12:49:32.702637,25.39,26.86,26.37,26.86
2018-06-04 12:49:33.008693,25.88,26.86,26.37,26.86
2018-06-04 12:49:33.314309,25.88,26.37,26.37,26.86
2018-06-04 12:49:33.619581,25.39,26.86,26.37,26.86
2018-06-04 12:49:33.924300,25.88,26.86,26.37,26.37
2018-06-04 12:49:34.229809,25.39,26.37,26.37,26.86
2018-06-04 12:49:34.534415,25.88,26.86,26.37,26.37
2018-06-04 12:49:34.842493,25.39,26.86,26.37,26.86
2018-06-04 12:49:35.146715,25.88,26.37,26.37,26.86
2018-06-04 12:49:35.453938,25.39,26.37,26.37,26.86
2018-06-04 12:49:35.759217,25.88,26.86,26.37,26.86
2018-06-04 12:49:36.064452,25.39,26.86,26.37,26.86
2018-06-04 12:49:36.372782,25.39,26.86,26.37,26.86
2018-06-04 12:49:36.681156,25.39,26.86,26.37,26.86
2018-06-04 12:49:36.986374,25.88,26.86,25.88,26.86
2018-06-04 12:49:37.293341,25.39,26.37,26.37,26.86
2018-06-04 12:49:37.600718,25.39,26.37,26.37,26.86
2018-06-04 12:49:37.906125,25.88,26.86,26.37,26.86
2018-06-04 12:49:38.212633,25.88,26.86,26.37,26.86
2018-06-04 12:49:38.520328,25.88,26.37,26.37,26.86
2018-06-04 12:49:38.827590,25.88,26.37,26.37,26.86
2018-06-04 12:49:39.134314,25.39,26.37,25.88,26.37
2018-06-04 12:49:39.439959,25.39,26.86,26.37,26.86
2018-06-04 12:49:39.745849,25.39,26.37,26.37,26.86
2018-06-04 12:49:40.054076,25.88,26.86,26.37,26.86
2018-06-04 12:49:40.362234,25.39,26.86,26.37,26.86
2018-06-04 12:49:40.670070,25.39,26.86,26.37,26.86
2018-06-04 12:49:40.976290,25.39,26.86,26.37,26.86
2018-06-04 12:49:41.283011,25.39,26.37,26.37,26.86
2018-06-04 12:49:41.603096,25.88,26.86,26.37,26.86
2018-06-04 12:49:41.909474,25.39,26.86,26.37,26.86
2018-06-04 12:49:42.218210,25.39,26.86,26.37,26.86
2018-06-04 12:49:42.523265,25.88,26.86,26.37,26.86
2018-06-04 12:49:42.831401,25.39,26.86,25.88,26.86
2018-06-04 12:49:43.136722,25.88,26.86,26.37,26.37
2018-06-04 12:49:43.444018,25.39,26.86,26.37,26.86
2018-06-04 12:49:43.763118,25.39,26.86,26.37,26.86
2018-06-04 12:49:44.071800,25.88,26.37,26.37,26.37
2018-06-04 12:49:44.379000,25.88,26.86,26.37,26.86
2018-06-04 12:49:44.687690,25.39,26.86,26.37,26.86
2018-06-04 12:49:44.994501,25.88,26.37,26.37,26.86
2018-06-04 12:49:45.301036,25.88,26.86,26.37,26.86
2018-06-04 12:49:45.608716,25.88,26.37,26.37,26.37
2018-06-04 12:49:45.913389,25.39,26.86,26.37,26.86
2018-06-04 12:49:46.221936,25.88,26.37,26.37,26.86
2018-06-04 12:49:46.529392,25.39,26.37,26.37,26.86
2018-06-04 12:49:46.833599,25.39,26.86,26.37,26.86
2018-06-04 12:49:47.142737,25.39,26.86,26.37,26.86
2018-06-04 12:49:47.449323,25.88,26.86,26.37,26.86
2018-06-04 12:49:47.757273,25.88,26.86,26.37,26.86
2018-06-04 12:49:48.063276,25.39,26.37,26.37,26.86
2018-06-04 12:49:48.371413,25.88,26.86,26.37,26.86
2018-06-04 12:49:48.679134,25.88,26.37,26.37,26.86
2018-06-04 12:49:48.984729,25.39,26.37,26.37,26.86
2018-06-04 12:49:49.292378,25.88,26.37,25.88,26.86
2018-06-04 12:49:49.599584,25.39,26.86,26.37,26.37
2018-06-04 12:49:49.907689,25.88,26.86,25.88,26.86
2018-06-04 12:49:50.214411,25.39,26.86,26.37,26.86
2018-06-04 12:49:50.519690,25.39,26.37,26.37,26.86
2018-06-04 12:49:50.823662,25.39,26.86,26.37,26.86
2018-06-04 12:49:51.130929,25.39,26.37,25.88,26.86
2018-06-04 12:49:51.438003,25.88,26.86,26.37,26.86
2018-06-04 12:49:51.745683,25.88,26.86,26.37,26.86
2018-06-04 12:49:52.051710,25.39,26.86,26.37,26.86
2018-06-04 12:49:52.359399,25.39,26.37,26.37,26.86
2018-06-04 12:49:52.663970,25.88,26.86,26.37,26.86
2018-06-04 12:49:52.972525,25.39,26.86,26.37,26.86
2018-06-04 12:49:53.277893,25.39,26.37,26.37,26.86
2018-06-04 12:49:53.584571,25.88,26.86,26.37,26.37
2018-06-04 12:49:53.891552,25.88,26.86,26.37,26.86
2018-06-04 12:49:54.196745,25.39,26.37,26.37,26.86
2018-06-04 12:49:54.500738,25.88,26.37,26.37,26.86
2018-06-04 12:49:54.809670,25.88,26.86,26.37,26.37
2018-06-04 12:49:55.115400,25.88,26.37,26.37,26.86
2018-06-04 12:49:55.423320,25.39,26.86,26.37,26.37
2018-06-04 12:49:55.728681,25.39,26.37,26.37,26.86
2018-06-04 12:49:56.034947,25.39,26.86,26.37,26.86
2018-06-04 12:49:56.341487,25.39,26.86,25.88,26.86
2018-06-04 12:49:56.649207,25.88,26.37,26.37,26.37
2018-06-04 12:49:56.956431,25.39,26.86,26.37,26.86
2018-06-04 12:49:57.261264,25.88,26.37,26.37,26.86
2018-06-04 12:49:57.569302,25.88,26.86,26.37,26.86
2018-06-04 12:49:57.876428,25.88,26.86,26.37,26.37
2018-06-04 12:49:58.184649,25.88,26.86,26.37,26.86
2018-06-04 12:49:58.502133,25.39,26.86,26.37,26.37
2018-06-04 12:49:58.811115,25.88,26.86,26.37,26.86
2018-06-04 12:49:59.118454,25.88,26.37,26.37,26.86
2018-06-04 12:49:59.422710,25.39,26.86,26.37,26.86
2018-06-04 12:49:59.730344,25.39,26.86,26.37,26.86
2018-06-04 12:50:00.037623,25.88,26.86,26.37,26.86
2018-06-04 12:50:00.344373,25.88,26.86,26.37,26.86
2018-06-04 12:50:00.650914,25.39,26.37,26.37,26.86
2018-06-04 12:50:00.955511,25.39,26.86,26.37,26.86
2018-06-04 12:50:01.261560,25.39,26.86,26.37,26.86
2018-06-04 12:50:01.570129,25.88,26.86,26.37,26.86
2018-06-04 12:50:01.878077,25.88,26.37,26.37,26.86
2018-06-04 12:50:02.186800,25.39,26.86,25.88,26.86
2018-06-04 12:50:02.491518,25.88,26.86,25.88,26.37
2018-06-04 12:50:02.796192,25.39,26.86,26.37,26.86
2018-06-04 12:50:03.104422,25.39,26.86,26.37,26.37
2018-06-04 12:50:03.413000,25.39,26.86,26.37,26.37
2018-06-04 12:50:03.717899,25.88,26.37,26.37,26.86
2018-06-04 12:50:04.023660,25.88,26.37,26.37,26.86
2018-06-04 12:50:04.327832,25.88,26.37,26.37,26.86
2018-06-04 12:50:04.635455,25.88,26.37,26.37,26.37
2018-06-04 12:50:04.941157,25.39,26.86,26.37,26.86
2018-06-04 12:50:05.247285,25.88,26.37,26.37,26.86
2018-06-04 12:50:05.552829,25.39,26.37,26.37,26.37
2018-06-04 12:50:05.859772,25.39,26.86,26.37,26.86
2018-06-04 12:50:06.165704,25.88,26.86,26.37,26.86
2018-06-04 12:50:06.473553,25.88,26.37,26.37,26.37
2018-06-04 12:50:06.781788,25.39,26.86,25.88,26.86
2018-06-04 12:50:07.089984,25.88,26.37,26.37,26.86
2018-06-04 12:50:07.395205,25.39,26.86,26.37,26.86
2018-06-04 12:50:07.699921,25.88,26.86,26.37,26.86
2018-06-04 12:50:08.007638,25.88,26.86,25.88,26.86
2018-06-04 12:50:08.312648,25.39,26.37,26.37,26.86
2018-06-04 12:50:08.618935,25.39,26.86,26.37,26.37
2018-06-04 12:50:08.923905,25.88,26.86,26.37,26.86
2018-06-04 12:50:09.228783,25.88,26.37,26.37,26.86
2018-06-04 12:50:09.535890,25.39,26.86,26.37,26.86
2018-06-04 12:50:09.841701,25.39,26.37,26.37,26.86
2018-06-04 12:50:10.146906,25.88,26.86,26.37,26.86
2018-06-04 12:50:10.454473,25.88,26.37,25.88,26.86
2018-06-04 12:50:10.760805,25.88,26.37,26.37,26.86
2018-06-04 12:50:11.068523,25.88,26.37,26.37,26.86
2018-06-04 12:50:11.376263,25.39,26.86,26.37,26.37
2018-06-04 12:50:11.683532,25.88,26.37,26.37,26.37
2018-06-04 12:50:11.992280,25.39,26.86,25.88,26.86
2018-06-04 12:50:12.299317,25.88,26.86,25.88,26.86
2018-06-04 12:50:12.606887,25.39,26.37,26.37,26.86
2018-06-04 12:50:12.912358,25.39,26.86,26.37,26.86
2018-06-04 12:50:13.220601,25.39,26.37,26.37,26.86
2018-06-04 12:50:13.526850,25.88,26.86,26.37,26.86
2018-06-04 12:50:13.835234,25.39,26.86,26.37,26.86
2018-06-04 12:50:14.139954,25.88,26.86,26.37,26.86
2018-06-04 12:50:14.447493,25.39,26.86,26.37,26.86
2018-06-04 12:50:14.756534,25.88,26.37,26.37,26.86
2018-06-04 12:50:15.064755,25.39,26.86,26.37,26.37
2018-06-04 12:50:15.369974,25.88,26.86,26.37,26.86
2018-06-04 12:50:15.676694,25.88,26.86,26.37,26.86
2018-06-04 12:50:15.982919,25.88,26.86,26.37,26.86
2018-06-04 12:50:16.290712,25.39,26.86,26.37,26.37
2018-06-04 12:50:16.597001,25.88,26.37,25.88,26.86
2018-06-04 12:50:16.898158,25.88,26.86,26.37,26.37
2018-06-04 12:50:17.210290,25.88,26.37,26.37,26.86
2018-06-04 12:50:17.516875,25.39,26.86,26.37,26.37
2018-06-04 12:50:17.822373,25.39,26.37,26.37,26.86
2018-06-04 12:50:18.128385,25.39,26.86,26.37,26.37
2018-06-04 12:50:18.435109,25.39,26.37,26.37,26.86
2018-06-04 12:50:18.742977,25.39,26.86,25.88,26.37
2018-06-04 12:50:19.050697,25.39,26.37,26.37,26.86
2018-06-04 12:50:19.363068,25.39,26.86,26.37,26.86
2018-06-04 12:50:19.673143,25.88,26.86,26.37,26.86
2018-06-04 12:50:19.979882,25.88,26.37,26.37,26.86
2018-06-04 12:50:20.288202,25.88,26.86,25.88,26.86
2018-06-04 12:50:20.594832,25.39,26.86,26.37,26.86
2018-06-04 12:50:20.901810,25.39,26.37,26.37,26.86
2018-06-04 12:50:21.205819,25.88,26.86,26.37,26.86
2018-06-04 12:50:21.513192,25.88,26.37,26.37,26.86
2018-06-04 12:50:21.821600,25.39,26.37,25.88,26.86
2018-06-04 12:50:22.127320,25.39,26.86,26.37,26.86
2018-06-04 12:50:22.434544,25.39,26.37,26.37,26.86
2018-06-04 12:50:22.743426,25.39,26.86,26.37,26.37
2018-06-04 12:50:23.050612,25.39,26.86,26.37,26.37
2018-06-04 12:50:23.357243,25.88,26.37,26.37,26.37
2018-06-04 13:28:49.493321,24.9,26.86,26.37,26.86
2018-06-04 13:28:49.636148,25.39,26.86,26.37,26.37
2018-06-04 13:28:49.748781,25.39,26.86,26.37,26.86
2018-06-04 13:28:49.844365,24.9,26.86,25.88,26.86
2018-06-04 13:28:49.938126,25.39,26.86,26.37,26.37
2018-06-04 13:28:50.033670,25.39,27.34,26.37,26.86
2018-06-04 13:28:50.113904,25.39,26.86,26.37,26.86
2018-06-04 13:28:50.223284,25.39,26.37,26.37,26.86
2018-06-04 13:28:50.344901,25.39,27.34,26.37,26.86
2018-06-04 13:28:50.457822,25.39,26.86,26.37,26.86
2018-06-04 13:28:50.562925,24.9,26.37,26.37,26.37
2018-06-04 13:28:50.674763,25.39,26.86,26.37,26.86
2018-06-04 13:28:50.787317,25.39,26.86,26.37,26.86
2018-06-04 13:28:50.867618,25.39,26.86,26.37,26.86
2018-06-04 13:28:50.964592,25.39,26.86,26.37,26.86
2018-06-04 13:28:51.046212,25.39,26.86,25.88,27.34
2018-06-04 13:28:51.143036,25.39,26.37,26.37,26.86
2018-06-04 13:28:51.238110,25.39,26.86,26.37,26.86
2018-06-04 13:28:51.318338,25.39,26.86,26.37,26.86
2018-06-04 13:28:51.398536,25.39,26.86,26.37,26.37
2018-06-04 13:28:51.476665,25.39,26.86,26.37,26.86
2018-06-04 13:28:51.557944,25.39,26.37,25.88,26.86
2018-06-04 13:28:51.653730,25.39,26.37,26.37,26.86
2018-06-04 13:28:51.749503,25.39,26.86,26.37,26.86
2018-06-04 13:28:51.845350,25.39,26.86,26.37,26.86
2018-06-04 13:28:51.939097,25.39,26.86,26.37,26.86
2018-06-04 13:28:52.019080,25.39,26.86,26.37,26.86
2018-06-04 13:28:52.116156,24.9,26.86,26.37,26.86
2018-06-04 13:28:52.212041,25.39,26.86,25.88,26.86
2018-06-04 13:28:52.293342,24.9,26.86,26.37,26.86
2018-06-04 13:28:52.390341,24.9,26.86,25.88,26.86
2018-06-04 13:28:52.475797,25.39,26.37,26.86,26.86
2018-06-04 13:28:52.556027,25.39,26.86,26.37,26.86
2018-06-04 13:28:52.636073,24.9,26.37,25.88,26.86
2018-06-04 13:28:52.717536,25.39,26.37,26.37,26.86
2018-06-04 13:28:52.814327,25.39,26.86,26.37,26.86
2018-06-04 13:28:52.909853,25.39,26.86,26.37,26.86
2018-06-04 13:28:52.989889,25.39,26.37,26.37,26.37
2018-06-04 13:28:53.085660,25.39,26.86,26.37,26.86
2018-06-04 13:28:53.182758,24.9,26.86,25.88,26.86
2018-06-04 13:28:53.263172,25.88,26.37,26.37,26.37
2018-06-04 13:28:53.359732,25.39,27.34,26.37,26.86
2018-06-04 13:28:53.439870,25.39,26.86,26.37,26.86
2018-06-04 13:28:53.536862,25.39,26.86,26.37,26.37
2018-06-04 13:28:53.616965,24.9,26.86,26.37,26.86
2018-06-04 13:28:53.712428,25.39,26.86,25.88,26.86
2018-06-04 13:28:53.795911,25.39,26.86,26.37,26.37
2018-06-04 13:28:53.891824,25.39,26.86,26.37,26.86
2018-06-04 13:28:53.987307,24.9,26.37,25.88,26.86
2018-06-04 13:28:54.084270,25.39,26.86,26.37,26.37
2018-06-04 13:28:54.181086,25.39,26.86,26.37,26.86
2018-06-04 13:28:54.276636,25.39,26.86,26.37,26.86
2018-06-04 13:28:54.375604,25.39,26.37,26.37,26.86
2018-06-04 13:28:54.456524,24.9,26.86,26.37,26.86
2018-06-04 13:28:54.543998,24.9,26.37,25.88,26.86
2018-06-04 13:28:54.640897,25.39,26.37,26.37,26.37
2018-06-04 13:28:54.737423,25.39,26.86,26.37,26.86
2018-06-04 13:28:54.833361,25.39,26.86,26.37,26.86
2018-06-04 13:28:54.914893,25.88,26.86,26.37,26.86
2018-06-04 13:28:55.010743,24.9,26.86,26.37,26.86
2018-06-04 13:28:55.123323,25.39,26.86,26.37,27.34
2018-06-04 13:28:55.204314,25.39,26.37,25.88,26.86
2018-06-04 13:28:55.316480,25.39,26.86,26.37,26.86
2018-06-04 13:28:55.397135,25.39,26.86,25.88,26.86
2018-06-04 13:28:55.486371,25.39,26.37,26.37,26.86
2018-06-04 13:28:55.569075,24.9,26.86,26.37,26.86
2018-06-04 13:28:55.665948,25.39,26.37,26.37,26.86
2018-06-04 13:28:55.762006,25.39,26.86,26.37,26.37
2018-06-04 13:28:55.858900,25.39,27.34,26.37,26.86
2018-06-04 13:28:55.955734,25.39,26.86,26.37,27.34
2018-06-04 13:28:56.040249,25.39,26.86,26.37,26.86
2018-06-04 13:28:56.127399,25.39,26.86,26.37,26.86
2018-06-04 13:28:56.220183,24.9,26.37,26.37,26.86
2018-06-04 13:28:56.308297,25.39,26.86,26.37,26.37
2018-06-04 13:28:56.452075,25.39,26.86,26.37,26.86
2018-06-04 13:28:56.551876,25.39,26.86,25.88,26.86
2018-06-04 13:28:56.648642,25.39,26.86,26.37,26.37
2018-06-04 13:28:56.760150,25.39,27.34,26.37,27.34
2018-06-04 13:28:56.840410,25.39,26.86,25.88,27.34
2018-06-04 13:28:56.936242,25.39,26.37,26.37,26.37
2018-06-04 13:28:57.016028,25.39,26.86,26.37,26.86
2018-06-04 13:28:57.111879,24.9,26.37,25.88,26.86
2018-06-04 13:28:57.223360,24.9,26.86,26.37,26.86
2018-06-04 13:28:57.303322,24.9,26.86,26.37,26.86
2018-06-04 13:28:57.400259,24.9,26.86,25.88,26.86
2018-06-04 13:28:57.481482,25.39,26.86,26.37,26.37
2018-06-04 13:28:57.577341,25.39,26.86,26.37,27.34
2018-06-04 13:28:57.674201,24.9,26.86,26.37,27.34
2018-06-04 13:28:57.771552,25.39,26.86,26.37,26.37
2018-06-04 13:28:57.856090,25.39,26.86,26.37,26.86
2018-06-04 13:28:57.931944,24.9,26.37,25.88,26.86
2018-06-04 13:28:58.027939,24.9,26.86,26.37,26.37
2018-06-04 13:28:58.139510,24.9,26.86,26.37,26.86
2018-06-04 13:28:58.236378,25.39,26.86,25.88,26.86
2018-06-04 13:28:58.316428,25.39,26.86,26.37,26.37
2018-06-04 13:28:58.396585,24.9,26.86,26.37,26.86
2018-06-04 13:28:58.507951,24.9,26.37,26.86,26.86
2018-06-04 13:28:58.623836,25.39,26.37,26.37,26.37
2018-06-04 13:28:58.734794,25.39,26.86,26.37,26.86
2018-06-04 13:28:58.817266,24.9,26.86,25.88,26.86
2018-06-04 13:28:58.929919,25.39,26.86,26.37,26.37
2018-06-04 13:28:59.010206,25.39,26.37,26.37,26.86
2018-06-04 13:28:59.106111,25.39,26.86,26.37,26.86
